time,n0v,n1v,n2v,n3v,n4v,n5v,n6v,n7v,n8v,n9v,n10v,n11v,n12v,n13v,n14v,n15v,n16v,n17v,n18v,n19v,n20v,n21v,n22v,n23v,n24v,n25v,n26v,n27v,n28v,n29v,n30v,n31v,n32v,n33v,n34v,n35v,n36v,n37v,n38v,n39v,n40v,n41v,n42v,n43v,n44v,n45v,n46v,n47v,n48v,n49v,n50v,n51v,n52v,n53v,n54v,n55v,n56v,n57v,n58v,n59v,n60v,n61v,n62v,n63v,n64v,n65v,n66v,n67v,n68v,n69v,n70v,n71v,n72v,n73v,n74v,n75v,n76v,n77v,n78v,n79v,n80v,n81v,n82v,n83v,n84v,n85v,n86v,n87v,n88v,n89v,n90v,n91v,n92v,n93v,n94v,n95v,n96v,n97v,n98v,n99v,n100v,n101v,n102v,n103v,n104v,n105v,n106v,n107v,n108v,n109v,n110v,n111v,n112v,n113v,n114v,n115v,n116v,n117v,n118v,n119v,n120v,n121v,n122v,n123v,n124v,n125v,n126v,n127v,n128v,n129v,n130v,n131v,n132v,n133v,n134v,n135v,n136v,n137v,n138v,n139v,n140v,n141v,n142v,n143v,n144v,n145v,n146v,n147v,n148v,n149v,n150v,n151v,n152v,n153v,n154v,n155v,n156v,n157v,n158v,n159v,n160v,n161v,n162v,n163v,n164v,n165v,n166v,n167v,n168v,n169v,n170v,n171v,n172v,n173v,n174v,n175v,n176v,n177v,n178v,n179v
2.97,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-40.9115,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-34.339,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
2.98,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-40.9407,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-34.3397,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
2.99,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-40.9698,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-34.3404,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-40.999,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-34.3411,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.01,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-41.0281,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-34.3417,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.02,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-41.0573,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-34.3423,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.03,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-41.0864,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-34.3429,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.04,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-41.1156,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-34.3435,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.05,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-41.1448,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-34.3441,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.06,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-41.174,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-34.3446,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.07,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-41.2032,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-34.3451,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.08,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-41.2323,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-34.3456,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.09,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-41.2615,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-34.346,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
3.1,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-41.2907,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-34.3465,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30,-30
