time,0,1,2,3,4,5,6,7,8
20.0,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.01,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.02,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.03,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.04,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.05,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.06,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.07,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.08,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.09,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.1,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.11,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.12,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.13,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.14,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.15,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.16,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.17,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.18,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.19,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.2,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.21,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.22,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.23,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.24,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.25,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.26,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.27,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.28,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.29,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.3,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.31,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.32,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
20.33,16.444,24.261,32.029,37.838,40.0,37.838,32.029,24.261
